Index,L1,L2
26079,NK,NK
26080,B cell,Memory B
26081,T cell,CD4 Memory
26082,T cell,CD4 Naive
26083,Progenitor cells,Prog_DC
26084,Progenitor cells,LMPP
26085,T cell,CD4 Naive
26086,T cell,CD4 Naive
26087,NK,NK
26088,NK,NK
26089,Mono/DC,pDC
26090,B cell,Memory B
26091,T cell,CD4 Naive
26092,T cell,CD4 Memory
26093,T cell,CD4 Memory
26094,T cell,gdT
26095,Mono/DC,CD14 Mono
26096,T cell,CD4 Memory
26097,T cell,CD4 Memory
26098,Mono/DC,CD14 Mono
26099,B cell,Memory B
26100,B cell,Naive B
26101,Progenitor cells,GMP
26102,B cell,Naive B
26103,T cell,CD8 Memory_1
26104,T cell,CD4 Naive
26105,T cell,CD8 Naive
26106,Mono/DC,CD14 Mono
26107,Mono/DC,CD14 Mono
26108,T cell,CD4 Memory
26109,T cell,CD4 Memory
26110,T cell,CD4 Naive
26111,B cell,Memory B
26112,T cell,CD4 Naive
26113,Progenitor cells,GMP
26114,Mono/DC,CD14 Mono
26115,Mono/DC,CD14 Mono
26116,B cell,Memory B
26117,Mono/DC,CD14 Mono
26118,B cell,Plasmablast
26119,NK,NK
26120,Mono/DC,CD14 Mono
26121,Progenitor cells,Prog_Mk
26122,T cell,CD8 Naive
26123,Mono/DC,CD14 Mono
26124,T cell,CD4 Memory
26125,Mono/DC,CD14 Mono
26126,B cell,Naive B
26127,T cell,CD8 Naive
26128,NK,NK
26129,T cell,CD8 Naive
26130,T cell,CD4 Naive
26131,Mono/DC,CD14 Mono
26132,Mono/DC,CD14 Mono
26133,T cell,MAIT
26134,T cell,CD4 Memory
26135,T cell,CD4 Naive
26136,Mono/DC,CD16 Mono
26137,B cell,Memory B
26138,Mono/DC,CD14 Mono
26139,Mono/DC,CD14 Mono
26140,T cell,CD8 Effector_2
26141,T cell,CD8 Naive
26142,NK,NK
26143,Mono/DC,CD16 Mono
26144,T cell,CD8 Effector_1
26145,Progenitor cells,Prog_DC
26146,T cell,Treg
26147,Progenitor cells,Prog_RBC
26148,T cell,CD8 Naive
26149,T cell,CD8 Naive
26150,T cell,CD8 Naive
26151,T cell,CD8 Naive
26152,Progenitor cells,Prog_B 1
26153,T cell,CD8 Memory_2
26154,T cell,CD4 Naive
26155,T cell,CD4 Memory
26156,B cell,Naive B
26157,B cell,Memory B
26158,T cell,CD4 Memory
26159,T cell,CD8 Effector_1
26160,T cell,CD4 Naive
26161,T cell,CD8 Naive
26162,T cell,gdT
26163,Mono/DC,CD14 Mono
26164,Mono/DC,CD16 Mono
26165,T cell,CD8 Naive
26166,T cell,CD4 Naive
26167,Mono/DC,cDC2
26168,T cell,Treg
26169,T cell,CD4 Memory
26170,T cell,CD8 Naive
26171,T cell,CD4 Memory
26172,T cell,CD4 Naive
26173,Mono/DC,CD14 Mono
26174,T cell,CD8 Effector_2
26175,Mono/DC,CD14 Mono
26176,T cell,CD4 Memory
26177,Mono/DC,CD16 Mono
26178,Mono/DC,CD16 Mono
26179,B cell,Naive B
26180,Progenitor cells,Prog_RBC
26181,NK,NK
26182,Progenitor cells,GMP
26183,T cell,CD8 Naive
26184,Mono/DC,CD14 Mono
26185,T cell,CD4 Memory
26186,Mono/DC,CD14 Mono
26187,T cell,CD4 Memory
26188,Mono/DC,CD14 Mono
26189,NK,NK
26190,T cell,CD8 Naive
26191,NK,CD56 bright NK
26192,B cell,Memory B
26193,T cell,CD8 Naive
26194,Progenitor cells,Prog_B 2
26195,T cell,CD4 Memory
26196,B cell,Naive B
26197,T cell,CD8 Naive
26198,T cell,CD4 Naive
26199,T cell,CD4 Naive
26200,T cell,CD4 Naive
26201,Mono/DC,CD14 Mono
26202,T cell,CD4 Naive
26203,T cell,CD4 Memory
26204,Progenitor cells,GMP
26205,Mono/DC,CD16 Mono
26206,Progenitor cells,HSC
26207,T cell,CD4 Memory
26208,T cell,CD8 Naive
26209,Mono/DC,cDC2
26210,T cell,CD8 Effector_1
26211,T cell,CD4 Naive
26212,T cell,CD8 Memory_2
26213,T cell,CD8 Naive
26214,T cell,CD8 Naive
26215,T cell,CD8 Naive
26216,T cell,CD8 Naive
26217,Mono/DC,cDC2
26218,Mono/DC,CD14 Mono
26219,T cell,CD4 Naive
26220,B cell,Memory B
26221,T cell,CD4 Naive
26222,B cell,Memory B
26223,T cell,CD8 Naive
26224,B cell,Naive B
26225,B cell,Naive B
26226,Mono/DC,CD14 Mono
26227,T cell,CD4 Naive
26228,T cell,CD8 Naive
26229,B cell,Naive B
26230,Mono/DC,CD14 Mono
26231,T cell,CD4 Memory
26232,Mono/DC,CD16 Mono
26233,Mono/DC,CD14 Mono
26234,T cell,CD4 Naive
26235,T cell,CD8 Naive
26236,Mono/DC,CD14 Mono
26237,Progenitor cells,Prog_RBC
26238,T cell,Treg
26239,NK,NK
26240,Progenitor cells,Prog_RBC
26241,B cell,Memory B
26242,T cell,CD4 Memory
26243,Mono/DC,CD14 Mono
26244,Mono/DC,CD14 Mono
26245,T cell,CD4 Memory
26246,Mono/DC,CD14 Mono
26247,T cell,CD8 Effector_1
26248,NK,NK
26249,T cell,CD8 Naive
26250,B cell,Memory B
26251,Mono/DC,CD14 Mono
26252,B cell,Memory B
26253,B cell,Memory B
26254,Mono/DC,CD14 Mono
26255,T cell,CD4 Memory
26256,Mono/DC,CD14 Mono
26257,Progenitor cells,Prog_RBC
26258,Mono/DC,CD14 Mono
26259,T cell,CD4 Memory
26260,Progenitor cells,Prog_Mk
26261,T cell,CD4 Naive
26262,Progenitor cells,Prog_DC
26263,T cell,CD8 Effector_1
26264,NK,NK
26265,T cell,CD4 Naive
26266,T cell,CD8 Naive
26267,Mono/DC,CD14 Mono
26268,T cell,CD4 Naive
26269,T cell,CD8 Naive
26270,T cell,CD8 Naive
26271,Mono/DC,CD16 Mono
26272,B cell,Memory B
26273,T cell,CD4 Naive
26274,T cell,CD4 Memory
26275,T cell,CD8 Naive
26276,T cell,CD8 Naive
26277,Mono/DC,pDC
26278,T cell,CD4 Memory
26279,Mono/DC,CD14 Mono
26280,Mono/DC,CD14 Mono
26281,T cell,CD4 Naive
26282,T cell,CD4 Naive
26283,T cell,CD4 Naive
26284,Mono/DC,CD14 Mono
26285,Mono/DC,CD14 Mono
26286,Mono/DC,CD14 Mono
26287,Progenitor cells,Prog_RBC
26288,T cell,CD8 Memory_2
26289,T cell,CD8 Naive
26290,T cell,CD8 Effector_2
26291,Mono/DC,CD14 Mono
26292,T cell,CD8 Naive
26293,Mono/DC,CD14 Mono
26294,Progenitor cells,GMP
26295,Mono/DC,cDC2
26296,Mono/DC,CD14 Mono
26297,T cell,CD4 Naive
26298,T cell,CD4 Naive
26299,T cell,CD8 Naive
26300,Mono/DC,CD14 Mono
26301,Mono/DC,CD16 Mono
26302,Mono/DC,CD14 Mono
26303,T cell,CD4 Memory
26304,T cell,CD4 Naive
26305,B cell,Memory B
26306,T cell,CD4 Memory
26307,Progenitor cells,GMP
26308,Mono/DC,CD14 Mono
26309,NK,NK
26310,Progenitor cells,Prog_RBC
26311,T cell,CD8 Naive
26312,Progenitor cells,Prog_RBC
26313,T cell,CD4 Naive
26314,Progenitor cells,LMPP
26315,Mono/DC,CD14 Mono
26316,Mono/DC,CD14 Mono
26317,T cell,CD4 Memory
26318,Mono/DC,CD14 Mono
26319,T cell,CD4 Memory
26320,Progenitor cells,LMPP
26321,Mono/DC,CD14 Mono
26322,Mono/DC,CD14 Mono
26323,Mono/DC,CD14 Mono
26324,T cell,CD4 Memory
26325,Mono/DC,CD14 Mono
26326,T cell,CD4 Naive
26327,T cell,CD8 Naive
26328,B cell,Naive B
26329,T cell,CD8 Memory_1
26330,B cell,Memory B
26331,T cell,CD4 Memory
26332,B cell,Naive B
26333,T cell,CD4 Memory
26334,Mono/DC,CD14 Mono
26335,NK,NK
26336,T cell,CD4 Memory
26337,T cell,CD4 Memory
26338,Mono/DC,CD14 Mono
26339,T cell,CD4 Naive
26340,T cell,CD4 Naive
26341,T cell,CD8 Naive
26342,Progenitor cells,Prog_RBC
26343,T cell,CD8 Naive
26344,T cell,CD4 Memory
26345,B cell,Naive B
26346,Progenitor cells,Prog_Mk
26347,Mono/DC,CD14 Mono
26348,NK,CD56 bright NK
26349,Mono/DC,CD14 Mono
26350,T cell,CD4 Naive
26351,T cell,CD4 Memory
26352,Mono/DC,CD14 Mono
26353,B cell,Memory B
26354,Progenitor cells,GMP
26355,NK,NK
26356,T cell,CD4 Naive
26357,Mono/DC,CD14 Mono
26358,NK,NK
26359,T cell,CD4 Memory
26360,T cell,gdT
26361,Mono/DC,CD14 Mono
26362,T cell,CD8 Effector_2
26363,T cell,CD4 Memory
26364,T cell,CD4 Naive
26365,T cell,CD8 Naive
26366,B cell,Memory B
26367,NK,CD56 bright NK
26368,T cell,CD4 Naive
26369,Progenitor cells,GMP
26370,T cell,CD4 Memory
26371,T cell,CD4 Naive
26372,B cell,Memory B
26373,Mono/DC,CD14 Mono
26374,T cell,CD8 Naive
26375,T cell,CD8 Naive
26376,T cell,Treg
26377,T cell,CD4 Naive
26378,T cell,CD4 Memory
26379,T cell,CD8 Naive
26380,T cell,gdT
26381,T cell,CD8 Naive
26382,T cell,CD4 Memory
26383,Progenitor cells,Prog_RBC
26384,Mono/DC,CD14 Mono
26385,T cell,CD4 Memory
26386,Mono/DC,CD14 Mono
26387,NK,NK
26388,B cell,Memory B
26389,T cell,CD4 Naive
26390,B cell,Memory B
26391,T cell,gdT
26392,T cell,CD8 Naive
26393,T cell,CD8 Effector_2
26394,T cell,CD4 Memory
26395,T cell,CD4 Memory
26396,Progenitor cells,Prog_RBC
26397,T cell,CD8 Naive
26398,B cell,Naive B
26399,Progenitor cells,GMP
26400,T cell,CD4 Naive
26401,Mono/DC,CD14 Mono
26402,T cell,CD4 Naive
26403,Mono/DC,CD14 Mono
26404,T cell,CD4 Naive
26405,NK,NK
26406,B cell,Naive B
26407,Mono/DC,CD14 Mono
26408,Mono/DC,CD16 Mono
26409,T cell,CD8 Memory_1
26410,Mono/DC,CD16 Mono
26411,Mono/DC,CD14 Mono
26412,NK,NK
26413,Mono/DC,cDC2
26414,Mono/DC,pDC
26415,Mono/DC,CD14 Mono
26416,T cell,CD8 Naive
26417,T cell,CD8 Naive
26418,T cell,CD4 Naive
26419,T cell,CD4 Memory
26420,B cell,Naive B
26421,Mono/DC,CD14 Mono
26422,Mono/DC,CD14 Mono
26423,B cell,Memory B
26424,T cell,CD8 Naive
26425,B cell,Naive B
26426,T cell,CD8 Memory_1
26427,T cell,Treg
26428,NK,NK
26429,T cell,CD4 Memory
26430,T cell,CD4 Memory
26431,NK,NK
26432,B cell,Naive B
26433,T cell,CD4 Memory
26434,B cell,Memory B
26435,Mono/DC,CD14 Mono
26436,T cell,CD4 Naive
26437,B cell,Memory B
26438,Progenitor cells,Prog_RBC
26439,T cell,CD4 Memory
26440,T cell,CD4 Memory
26441,T cell,CD4 Memory
26442,Progenitor cells,Prog_RBC
26443,T cell,CD8 Effector_2
26444,T cell,CD4 Memory
26445,T cell,CD4 Memory
26446,Mono/DC,CD14 Mono
26447,T cell,CD8 Effector_2
26448,T cell,CD8 Naive
26449,T cell,MAIT
26450,Mono/DC,CD14 Mono
26451,B cell,Memory B
26452,T cell,CD4 Naive
26453,Mono/DC,pDC
26454,B cell,Naive B
26455,T cell,MAIT
26456,Mono/DC,pDC
26457,T cell,CD4 Naive
26458,B cell,Naive B
26459,B cell,Memory B
26460,T cell,CD8 Memory_1
26461,T cell,CD8 Naive
26462,T cell,CD4 Naive
26463,T cell,CD4 Naive
26464,B cell,Memory B
26465,Mono/DC,CD14 Mono
26466,T cell,CD8 Naive
26467,T cell,CD4 Memory
26468,T cell,CD4 Memory
26469,T cell,CD4 Naive
26470,B cell,Memory B
26471,T cell,CD8 Naive
26472,B cell,Memory B
26473,Mono/DC,cDC2
26474,T cell,CD8 Effector_1
26475,T cell,CD8 Naive
26476,Progenitor cells,GMP
26477,T cell,CD8 Effector_1
26478,Mono/DC,cDC2
26479,T cell,CD4 Memory
26480,B cell,Naive B
26481,T cell,CD4 Naive
26482,T cell,CD4 Naive
26483,B cell,Naive B
26484,T cell,CD4 Naive
26485,T cell,CD8 Memory_2
26486,T cell,CD4 Naive
26487,T cell,CD4 Naive
26488,B cell,Naive B
26489,B cell,Naive B
26490,Mono/DC,CD14 Mono
26491,T cell,CD4 Memory
26492,T cell,gdT
26493,T cell,CD4 Naive
26494,T cell,CD8 Memory_1
26495,Mono/DC,CD14 Mono
26496,T cell,CD4 Naive
26497,Mono/DC,CD14 Mono
26498,Mono/DC,CD14 Mono
26499,Mono/DC,CD14 Mono
26500,Mono/DC,CD14 Mono
26501,Mono/DC,CD14 Mono
26502,T cell,CD4 Naive
26503,Mono/DC,CD14 Mono
26504,B cell,Naive B
26505,Mono/DC,CD16 Mono
26506,T cell,CD4 Naive
26507,T cell,CD4 Naive
26508,T cell,CD4 Memory
26509,T cell,CD8 Naive
26510,T cell,CD8 Naive
26511,Mono/DC,CD14 Mono
26512,Progenitor cells,GMP
26513,Mono/DC,CD14 Mono
26514,Mono/DC,CD14 Mono
26515,B cell,Naive B
26516,T cell,CD8 Naive
26517,T cell,CD4 Naive
26518,B cell,Naive B
26519,Mono/DC,CD14 Mono
26520,Mono/DC,CD14 Mono
26521,T cell,CD4 Memory
26522,Mono/DC,CD14 Mono
26523,T cell,CD4 Naive
26524,B cell,Naive B
26525,Mono/DC,CD14 Mono
26526,Mono/DC,CD16 Mono
26527,T cell,CD8 Memory_1
26528,Progenitor cells,Prog_RBC
26529,T cell,CD4 Naive
26530,T cell,CD4 Naive
26531,Mono/DC,CD14 Mono
26532,T cell,Treg
26533,Mono/DC,CD14 Mono
26534,T cell,CD4 Naive
26535,Mono/DC,pDC
26536,Mono/DC,CD14 Mono
26537,T cell,Treg
26538,T cell,CD4 Memory
26539,Mono/DC,CD14 Mono
26540,T cell,CD8 Naive
26541,T cell,CD8 Naive
26542,Mono/DC,CD14 Mono
26543,T cell,CD4 Naive
26544,NK,NK
26545,T cell,Treg
26546,T cell,CD8 Memory_2
26547,B cell,Memory B
26548,T cell,CD8 Naive
26549,T cell,CD4 Memory
26550,Mono/DC,CD14 Mono
26551,B cell,Naive B
26552,Mono/DC,CD14 Mono
26553,T cell,CD8 Naive
26554,Progenitor cells,Prog_RBC
26555,T cell,CD4 Memory
26556,Progenitor cells,Prog_RBC
26557,Mono/DC,cDC2
26558,B cell,Naive B
26559,T cell,CD8 Naive
26560,Mono/DC,CD14 Mono
26561,T cell,CD4 Naive
26562,B cell,Memory B
26563,T cell,CD8 Naive
26564,T cell,CD8 Effector_2
26565,T cell,CD4 Memory
26566,T cell,CD4 Memory
26567,NK,NK
26568,T cell,CD4 Naive
26569,Mono/DC,CD14 Mono
26570,Progenitor cells,HSC
26571,Mono/DC,CD14 Mono
26572,T cell,CD4 Naive
26573,T cell,CD4 Memory
26574,B cell,Naive B
26575,NK,NK
26576,T cell,CD8 Effector_1
26577,Mono/DC,CD14 Mono
26578,Mono/DC,CD14 Mono
26579,Mono/DC,CD14 Mono
26580,Mono/DC,cDC2
26581,T cell,CD8 Naive
26582,Mono/DC,CD14 Mono
26583,Mono/DC,CD14 Mono
26584,T cell,MAIT
26585,B cell,Memory B
26586,T cell,CD4 Naive
26587,B cell,Memory B
26588,T cell,CD4 Naive
26589,Mono/DC,CD14 Mono
26590,T cell,CD8 Naive
26591,T cell,CD4 Naive
26592,Mono/DC,CD14 Mono
26593,NK,NK
26594,Mono/DC,CD14 Mono
26595,NK,NK
26596,T cell,CD8 Naive
26597,Progenitor cells,Prog_DC
26598,Progenitor cells,HSC
26599,B cell,Memory B
26600,T cell,CD8 Memory_2
26601,NK,NK
26602,T cell,CD8 Naive
26603,T cell,gdT
26604,Progenitor cells,Prog_B 1
26605,T cell,CD4 Naive
26606,T cell,CD8 Naive
26607,T cell,CD4 Naive
26608,Mono/DC,CD14 Mono
26609,Mono/DC,CD14 Mono
26610,B cell,Naive B
26611,T cell,CD8 Naive
26612,Progenitor cells,Prog_RBC
26613,T cell,CD4 Naive
26614,T cell,CD4 Naive
26615,B cell,Naive B
26616,T cell,CD8 Effector_2
26617,T cell,CD8 Effector_2
26618,B cell,Memory B
26619,B cell,Naive B
26620,T cell,CD8 Effector_2
26621,T cell,CD4 Memory
26622,T cell,CD4 Memory
26623,Progenitor cells,Prog_B 2
26624,Progenitor cells,Prog_DC
26625,T cell,CD4 Memory
26626,T cell,CD4 Memory
26627,Mono/DC,CD14 Mono
26628,Mono/DC,CD14 Mono
26629,T cell,CD4 Naive
26630,Mono/DC,pDC
26631,T cell,CD4 Memory
26632,Progenitor cells,Prog_RBC
26633,Progenitor cells,Prog_RBC
26634,T cell,CD8 Naive
26635,T cell,CD8 Naive
26636,B cell,Memory B
26637,Progenitor cells,LMPP
26638,T cell,CD4 Naive
26639,NK,NK
26640,Mono/DC,CD14 Mono
26641,Progenitor cells,LMPP
26642,T cell,Treg
26643,T cell,CD8 Naive
26644,Mono/DC,CD14 Mono
26645,Progenitor cells,LMPP
26646,T cell,CD8 Naive
26647,T cell,CD8 Effector_2
26648,T cell,CD4 Naive
26649,T cell,CD8 Naive
26650,T cell,CD8 Naive
26651,Progenitor cells,LMPP
26652,Mono/DC,CD14 Mono
26653,T cell,CD4 Naive
26654,Progenitor cells,Prog_DC
26655,T cell,CD8 Naive
26656,NK,NK
26657,T cell,CD4 Memory
26658,T cell,MAIT
26659,T cell,CD4 Memory
26660,T cell,CD4 Memory
26661,Mono/DC,CD14 Mono
26662,T cell,CD8 Effector_2
26663,T cell,CD4 Naive
26664,Mono/DC,CD14 Mono
26665,T cell,Treg
26666,NK,NK
26667,Mono/DC,CD14 Mono
26668,Progenitor cells,GMP
26669,T cell,CD8 Naive
26670,T cell,CD4 Memory
26671,Progenitor cells,GMP
26672,T cell,CD4 Naive
26673,Progenitor cells,Prog_RBC
26674,T cell,CD4 Naive
26675,B cell,Naive B
26676,Progenitor cells,LMPP
26677,T cell,CD8 Effector_1
26678,Progenitor cells,Prog_RBC
26679,B cell,Memory B
26680,Mono/DC,CD14 Mono
26681,T cell,CD4 Memory
26682,Mono/DC,cDC2
26683,NK,NK
26684,T cell,MAIT
26685,B cell,Memory B
26686,T cell,CD8 Memory_2
26687,T cell,CD4 Memory
26688,T cell,CD4 Memory
26689,T cell,CD4 Naive
26690,Mono/DC,CD14 Mono
26691,T cell,MAIT
26692,B cell,Memory B
26693,T cell,CD8 Naive
26694,Progenitor cells,Prog_B 1
26695,T cell,CD4 Memory
26696,T cell,CD8 Naive
26697,T cell,CD4 Naive
26698,B cell,Naive B
26699,Mono/DC,CD14 Mono
26700,Progenitor cells,Prog_B 2
26701,Mono/DC,CD14 Mono
26702,T cell,CD4 Naive
26703,Mono/DC,CD14 Mono
26704,Progenitor cells,LMPP
26705,T cell,CD8 Memory_2
26706,Mono/DC,CD14 Mono
26707,B cell,Memory B
26708,T cell,CD8 Memory_1
26709,T cell,CD8 Naive
26710,T cell,CD4 Naive
26711,T cell,CD4 Naive
26712,T cell,CD4 Memory
26713,T cell,CD4 Naive
26714,T cell,CD4 Memory
26715,T cell,CD4 Memory
26716,B cell,Memory B
26717,T cell,CD4 Naive
26718,Mono/DC,CD14 Mono
26719,T cell,CD4 Memory
26720,Mono/DC,CD16 Mono
26721,Mono/DC,CD14 Mono
26722,Mono/DC,CD14 Mono
26723,T cell,CD4 Naive
26724,T cell,Treg
26725,B cell,Naive B
26726,Progenitor cells,Prog_DC
26727,Progenitor cells,GMP
26728,T cell,CD8 Naive
26729,Mono/DC,CD14 Mono
26730,B cell,Naive B
26731,Mono/DC,CD14 Mono
26732,NK,NK
26733,T cell,CD4 Memory
26734,B cell,Naive B
26735,B cell,Naive B
26736,T cell,CD4 Naive
26737,Mono/DC,CD14 Mono
26738,B cell,Naive B
26739,T cell,Treg
26740,T cell,MAIT
26741,T cell,CD8 Naive
26742,T cell,CD4 Naive
26743,Mono/DC,CD14 Mono
26744,NK,CD56 bright NK
26745,B cell,Naive B
26746,T cell,CD4 Memory
26747,T cell,CD4 Memory
26748,NK,NK
26749,T cell,CD4 Memory
26750,T cell,CD8 Memory_1
26751,Mono/DC,CD16 Mono
26752,T cell,CD4 Naive
26753,T cell,CD8 Naive
26754,B cell,Plasmablast
26755,T cell,CD4 Naive
26756,Progenitor cells,Prog_B 1
26757,T cell,CD8 Naive
26758,Mono/DC,CD14 Mono
26759,Mono/DC,CD14 Mono
26760,T cell,CD4 Naive
26761,Progenitor cells,Prog_B 2
26762,Mono/DC,CD14 Mono
26763,NK,NK
26764,Mono/DC,cDC2
26765,Progenitor cells,Prog_RBC
26766,Mono/DC,CD14 Mono
26767,T cell,CD8 Naive
26768,T cell,CD4 Naive
26769,Mono/DC,CD14 Mono
26770,Mono/DC,pDC
26771,Mono/DC,cDC2
26772,T cell,CD4 Naive
26773,T cell,CD4 Naive
26774,T cell,CD4 Naive
26775,T cell,CD4 Naive
26776,T cell,CD8 Naive
26777,B cell,Memory B
26778,Mono/DC,cDC2
26779,T cell,CD8 Naive
26780,T cell,MAIT
26781,Mono/DC,CD14 Mono
26782,Progenitor cells,GMP
26783,Mono/DC,CD14 Mono
26784,T cell,CD4 Naive
26785,T cell,CD8 Naive
26786,B cell,Memory B
26787,T cell,CD4 Naive
26788,T cell,CD8 Memory_2
26789,T cell,CD8 Naive
26790,T cell,CD4 Naive
26791,T cell,CD4 Memory
26792,Mono/DC,CD14 Mono
26793,T cell,CD4 Naive
26794,NK,NK
26795,Mono/DC,CD14 Mono
26796,Mono/DC,CD14 Mono
26797,T cell,CD4 Memory
26798,Mono/DC,CD14 Mono
26799,T cell,CD4 Naive
26800,Progenitor cells,Prog_RBC
26801,Mono/DC,CD14 Mono
26802,Progenitor cells,Prog_RBC
26803,Mono/DC,CD14 Mono
26804,T cell,CD4 Memory
26805,Mono/DC,CD14 Mono
26806,Mono/DC,CD14 Mono
26807,Mono/DC,CD14 Mono
26808,T cell,CD4 Naive
26809,Mono/DC,CD14 Mono
26810,B cell,Naive B
26811,T cell,CD4 Naive
26812,B cell,Memory B
26813,T cell,CD8 Naive
26814,T cell,CD8 Effector_2
26815,T cell,CD4 Memory
26816,T cell,CD4 Memory
26817,Progenitor cells,Prog_RBC
26818,Progenitor cells,HSC
26819,Mono/DC,CD14 Mono
26820,Mono/DC,CD14 Mono
26821,Mono/DC,CD16 Mono
26822,T cell,CD4 Memory
26823,T cell,CD8 Memory_2
26824,Progenitor cells,GMP
26825,Mono/DC,CD14 Mono
26826,Mono/DC,CD14 Mono
26827,T cell,CD4 Naive
26828,T cell,CD8 Memory_2
26829,Progenitor cells,GMP
26830,B cell,Memory B
26831,T cell,CD8 Naive
26832,T cell,CD4 Naive
26833,T cell,CD8 Naive
26834,T cell,CD4 Memory
26835,T cell,CD8 Memory_1
26836,Mono/DC,CD14 Mono
26837,T cell,CD8 Naive
26838,Mono/DC,CD14 Mono
26839,NK,NK
26840,Progenitor cells,Prog_RBC
26841,T cell,CD8 Naive
26842,Mono/DC,CD14 Mono
26843,T cell,CD8 Naive
26844,T cell,CD4 Naive
26845,T cell,CD4 Naive
26846,B cell,Memory B
26847,B cell,Naive B
26848,Mono/DC,cDC2
26849,Mono/DC,CD14 Mono
26850,Mono/DC,CD14 Mono
26851,Mono/DC,CD14 Mono
26852,T cell,CD8 Naive
26853,T cell,CD4 Naive
26854,T cell,CD4 Memory
26855,T cell,CD8 Naive
26856,T cell,CD4 Naive
26857,T cell,CD8 Memory_1
26858,T cell,CD4 Naive
26859,Mono/DC,CD14 Mono
26860,B cell,Naive B
26861,T cell,CD4 Memory
26862,Mono/DC,cDC2
26863,T cell,CD4 Memory
26864,T cell,CD4 Memory
26865,T cell,CD8 Memory_2
26866,T cell,CD4 Naive
26867,T cell,MAIT
26868,T cell,CD8 Naive
26869,T cell,CD4 Memory
26870,T cell,CD4 Naive
26871,T cell,CD8 Memory_2
26872,Progenitor cells,Prog_RBC
26873,T cell,CD4 Naive
26874,T cell,CD4 Naive
26875,T cell,CD8 Naive
26876,B cell,Memory B
26877,T cell,CD8 Naive
26878,T cell,CD4 Naive
26879,T cell,Treg
26880,Mono/DC,CD14 Mono
26881,NK,NK
26882,T cell,CD8 Effector_1
26883,T cell,CD4 Naive
26884,T cell,CD8 Naive
26885,B cell,Memory B
26886,B cell,Plasmablast
26887,T cell,CD4 Memory
26888,Mono/DC,CD14 Mono
26889,T cell,CD4 Naive
26890,T cell,CD8 Memory_1
26891,T cell,CD8 Effector_1
26892,T cell,CD8 Effector_2
26893,Mono/DC,pDC
26894,B cell,Memory B
26895,T cell,gdT
26896,Progenitor cells,GMP
26897,T cell,CD8 Naive
26898,T cell,CD8 Naive
26899,Mono/DC,CD14 Mono
26900,Progenitor cells,LMPP
26901,T cell,CD4 Naive
26902,Mono/DC,CD14 Mono
26903,B cell,Naive B
26904,B cell,Naive B
26905,Mono/DC,CD14 Mono
26906,NK,NK
26907,B cell,Naive B
26908,Mono/DC,CD14 Mono
26909,T cell,CD8 Naive
26910,B cell,Naive B
26911,T cell,CD4 Naive
26912,B cell,Naive B
26913,T cell,CD8 Naive
26914,Mono/DC,CD14 Mono
26915,T cell,CD4 Naive
26916,Mono/DC,CD14 Mono
26917,T cell,CD4 Naive
26918,Progenitor cells,HSC
26919,T cell,CD4 Naive
26920,T cell,CD4 Naive
26921,T cell,MAIT
26922,T cell,CD8 Naive
26923,T cell,CD4 Memory
26924,Mono/DC,CD14 Mono
26925,T cell,CD8 Naive
26926,T cell,CD4 Memory
26927,T cell,CD8 Naive
26928,Mono/DC,CD14 Mono
26929,B cell,Naive B
26930,Mono/DC,CD16 Mono
26931,T cell,CD4 Naive
26932,Mono/DC,CD14 Mono
26933,T cell,CD4 Memory
26934,T cell,CD4 Memory
26935,Mono/DC,CD14 Mono
26936,Mono/DC,CD14 Mono
26937,Mono/DC,pDC
26938,T cell,CD4 Naive
26939,B cell,Memory B
26940,Mono/DC,pDC
26941,Mono/DC,CD14 Mono
26942,T cell,CD4 Naive
26943,T cell,CD4 Memory
26944,T cell,CD4 Naive
26945,T cell,CD4 Naive
26946,T cell,CD8 Naive
26947,T cell,CD8 Memory_2
26948,Mono/DC,CD14 Mono
26949,Progenitor cells,Prog_RBC
26950,T cell,CD8 Naive
26951,T cell,CD4 Naive
26952,Mono/DC,cDC2
26953,T cell,CD8 Naive
26954,T cell,CD4 Memory
26955,T cell,CD4 Naive
26956,T cell,CD4 Memory
26957,Mono/DC,CD14 Mono
26958,Mono/DC,CD14 Mono
26959,NK,NK
26960,T cell,CD8 Effector_1
26961,Mono/DC,CD14 Mono
26962,Mono/DC,CD14 Mono
26963,Progenitor cells,Prog_B 1
26964,T cell,gdT
26965,Mono/DC,CD14 Mono
26966,Mono/DC,pDC
26967,Mono/DC,CD14 Mono
26968,B cell,Plasmablast
26969,T cell,CD4 Memory
26970,Mono/DC,CD14 Mono
26971,B cell,Naive B
26972,T cell,CD4 Naive
26973,Mono/DC,CD14 Mono
26974,Mono/DC,CD14 Mono
26975,Mono/DC,CD14 Mono
26976,T cell,CD4 Naive
26977,Progenitor cells,Prog_Mk
26978,T cell,CD4 Memory
26979,B cell,Memory B
26980,T cell,CD4 Naive
26981,T cell,CD8 Naive
26982,B cell,Naive B
26983,B cell,Memory B
26984,B cell,Naive B
26985,T cell,CD8 Memory_2
26986,T cell,CD8 Naive
26987,T cell,CD4 Memory
26988,B cell,Naive B
26989,NK,NK
26990,T cell,CD4 Memory
26991,T cell,CD8 Effector_1
26992,T cell,CD8 Memory_2
26993,Mono/DC,CD14 Mono
26994,B cell,Naive B
26995,T cell,CD4 Memory
26996,Mono/DC,CD14 Mono
